Région,Départements,Code commune (INSEE),Commune,nombre de redevables,patrimoine moyen en millions d'euros,impôt moyen en milliers d'euros
AUVERGNE-RHONE-ALPES,DROME,26 362,VALENCE,61,2.4,9.2
AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74 010,ANNECY,507,2.0,7.5
AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74 281,THONON-LES-BAINS,90,2.1,8.9
AUVERGNE-RHONE-ALPES,ISERE,38 185,GRENOBLE,172,2.2,8.8
AUVERGNE-RHONE-ALPES,LOIRE,42 218,SAINT ETIENNE,78,1.9,6.1
AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63 113,CLERMONT-FERRAND,114,2.0,6.8
AUVERGNE-RHONE-ALPES,RHONE,69 029,BRON,63,2.0,7.2
AUVERGNE-RHONE-ALPES,RHONE,69 034,CALUIRE ET CUIRE,214,2.3,9.3
AUVERGNE-RHONE-ALPES,RHONE,69 123,LYON,"2,012",2.3,9.4
AUVERGNE-RHONE-ALPES,RHONE,69 202,STE FOY LES LYON,170,2.3,9.5
AUVERGNE-RHONE-ALPES,RHONE,69 204,SAINT-GENIS-LAVAL,63,2.1,7.6
AUVERGNE-RHONE-ALPES,RHONE,69 244,TASSIN-LA-DEMI-LUNE,108,2.2,8.0
AUVERGNE-RHONE-ALPES,RHONE,69 266,VILLEURBANNE,89,2.0,7.7
AUVERGNE-RHONE-ALPES,SAVOIE,73 008,AIX-LES-BAINS,67,2.1,7.6
AUVERGNE-RHONE-ALPES,SAVOIE,73 065,CHAMBERY,110,2.1,8.1
BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21 231,DIJON,176,2.2,8.7
BOURGOGNE-FRANCHE-COMTE,DOUBS,25 056,BESANCON,94,2.0,7.4
BRETAGNE,FINISTERE,29 019,BREST,80,2.4,10.7
BRETAGNE,ILLE-ET-VILAINE,35 238,RENNES,514,2.4,11.0
BRETAGNE,ILLE-ET-VILAINE,35 288,SAINT MALO,175,2.2,9.4
BRETAGNE,MORBIHAN,56 260,VANNES,145,2.0,7.9
CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28 085,CHARTRES,84,2.4,10.9
CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,37 261,TOURS,181,2.1,8.1
CENTRE-VAL DE LOIRE,LOIRET,45 234,ORLEANS,141,2.3,9.9
CORSE,CORSE-DU-SUD,2A 004,AJACCIO,162,2.5,11.6
CORSE,HAUTE-CORSE,2B 033,BASTIA,61,2.2,9.9
GRAND-EST,BAS-RHIN,67 482,STRASBOURG,655,2.4,10.2
GRAND-EST,HAUT-RHIN,68 066,COLMAR,90,2.5,11.4
GRAND-EST,HAUT-RHIN,68 224,MULHOUSE,81,2.2,9.7
GRAND-EST,MARNE,51 454,REIMS,254,2.1,7.9
GRAND-EST,MEURTHE-ET-MOSELLE,54 395,NANCY,187,2.4,11.6
GRAND-EST,MOSELLE,57 463,METZ,129,2.2,8.8
GRAND-EST,MOSELLE,57 672,THIONVILLE,60,2.0,7.7
ILE-DE-FRANCE,ESSONNE,91 114,BRUNOY,59,2.1,8.6
ILE-DE-FRANCE,ESSONNE,91 272,GIF SUR YVETTE,100,2.1,7.5
ILE-DE-FRANCE,ESSONNE,91 477,PALAISEAU,55,3.0,11.8
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 002,ANTONY,257,2.0,7.5
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 004,ASNIERES,331,2.2,9.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 009,BOIS-COLOMBES,133,2.0,6.9
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 012,BOULOGNE BILLANCOURT,"1,846",2.3,9.1
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 014,BOURG LA REINE,162,2.3,9.9
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 019,CHATENAY MALABRY,110,2.1,8.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 020,CHATILLON,92,2.2,9.2
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 022,CHAVILLE,112,1.9,6.8
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 023,CLAMART,261,2.0,7.3
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 025,COLOMBES,192,2.0,7.3
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 026,COURBEVOIE,377,2.0,7.5
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 032,FONTENAY AUX ROSES,77,2.0,7.4
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 035,LA GARENNE COLOMBES,165,2.2,9.3
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 040,ISSY LES MOULINEAUX,380,2.0,7.4
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 044,LEVALLOIS-PERRET,633,2.3,9.5
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 046,MALAKOFF,67,2.3,8.8
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 048,MEUDON,379,2.1,7.7
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 049,MONTROUGE,198,2.1,9.3
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 050,NANTERRE,98,2.1,8.5
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 051,NEUILLY SUR SEINE,"3,566",2.9,14.2
